names,seqnames,start,end,LOCATION,GENEID,PRECEDEID,FOLLOWID,symbol,APM11_numCs,APM12_numCs,APM19_numCs,APM20_numCs,APM11_coverage,APM12_coverage,APM19_coverage,APM20_coverage,p.value,ratioAPM11,ratioAPM12,ratioAPM19,ratioAPM20,meanES,meanB1DMSO24h,beta
chr1_171078185,chr1,171078185,171078185,intergenic,NA,"c(""102465784"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""59287"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""102466998"", ""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,14,11,35,77,316,224,141,312,6.50E-05,0.044303797,0.049107143,0.24822695,0.246794872,0.04670547,0.247510911,0.200805441
chr1_171078864,chr1,171078864,171078864,intergenic,NA,"c(""102465784"", ""102638632"", ""11807"", ""12355"", ""12506"", ""12523"", ""14127"", ""16429"", ""16456"", ""17085"", ""17528"", ""18071"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226646"", ""226652"", ""226654"", ""240913"", ""27045"", ""27218"", ""30925"", ""30941"", ""56009"", ""57370"", ""59287"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""93840"")","c(""102466998"", ""107652"", ""14130"", ""14131"", ""16589"", ""18214"", ""226641"", ""246256"", ""26904"", ""320078"", ""435653"", ""545378"", ""665574"", ""70729"", ""76925"", ""80915"", ""98752"")",NA,10,11,31,65,100,86,57,115,8.59E-05,0.1,0.127906977,0.543859649,0.565217391,0.113953488,0.55453852,0.440585032
chr1_171677634,chr1,171677634,171677634,intergenic,NA,"c(""12372"", ""12506"", ""12523"", ""12847"", ""140559"", ""16513"", ""16524"", ""18071"", ""18611"", ""19298"", ""21346"", ""240916"", ""27218"", ""27222"", ""30925"", ""59287"", ""67556"", ""677296"", ""68440"", ""71319"", ""71870"", ""74748"", ""93840"", ""93842"", ""98193"", ""98365"", ""98660"")","c(""102465784"", ""102466998"", ""102638632"", ""11807"", ""12355"", ""14127"", ""14130"", ""14131"", ""16429"", ""16456"", ""17085"", ""17528"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226641"", ""226646"", ""226652"", ""226654"", ""240913"", ""246256"", ""27045"", ""30941"", ""320078"", ""435653"", ""56009"", ""57370"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""80915"", ""98752"")",NA,12,11,38,62,125,99,67,111,4.87E-05,0.096,0.111111111,0.567164179,0.558558559,0.103555556,0.562861369,0.459305813
chr1_171677637,chr1,171677637,171677637,intergenic,NA,"c(""12372"", ""12506"", ""12523"", ""12847"", ""140559"", ""16513"", ""16524"", ""18071"", ""18611"", ""19298"", ""21346"", ""240916"", ""27218"", ""27222"", ""30925"", ""59287"", ""67556"", ""677296"", ""68440"", ""71319"", ""71870"", ""74748"", ""93840"", ""93842"", ""98193"", ""98365"", ""98660"")","c(""102465784"", ""102466998"", ""102638632"", ""11807"", ""12355"", ""14127"", ""14130"", ""14131"", ""16429"", ""16456"", ""17085"", ""17528"", ""18106"", ""18637"", ""19044"", ""21945"", ""22278"", ""226641"", ""226646"", ""226652"", ""226654"", ""240913"", ""246256"", ""27045"", ""30941"", ""320078"", ""435653"", ""56009"", ""57370"", ""641376"", ""66052"", ""66155"", ""66425"", ""68874"", ""71740"", ""75345"", ""75472"", ""80915"", ""98752"")",NA,31,22,46,74,126,101,68,111,7.88E-05,0.246031746,0.217821782,0.676470588,0.666666667,0.231926764,0.671568627,0.439641863
chr1_179559543,chr1,179559543,179559543,intron,226744,character(0),character(0),Cnst,49,31,73,100,170,120,116,160,9.75E-05,0.288235294,0.258333333,0.629310345,0.625,0.273284314,0.627155172,0.353870859
chr1_179669006,chr1,179669006,179669006,intron,109232,character(0),character(0),Sccpdh,7,3,42,65,183,99,147,192,9.88E-05,0.038251366,0.03030303,0.285714286,0.338541667,0.034277198,0.312127976,0.277850778
chr1_182143457,chr1,182143457,182143457,intergenic,NA,"c(""12334"", ""13244"", ""170725"", ""209456"", ""433386"", ""53791"", ""625823"", ""67330"", ""67948"", ""68897"", ""96935"")","c(""13800"", ""226757"", ""27058"", ""403180"", ""67459"", ""72978"", ""98386"", ""98417"")",NA,6,5,36,48,116,72,79,97,7.96E-05,0.051724138,0.069444444,0.455696203,0.494845361,0.060584291,0.475270782,0.41468649
chr1_182143463,chr1,182143463,182143463,intergenic,NA,"c(""12334"", ""13244"", ""170725"", ""209456"", ""433386"", ""53791"", ""625823"", ""67330"", ""67948"", ""68897"", ""96935"")","c(""13800"", ""226757"", ""27058"", ""403180"", ""67459"", ""72978"", ""98386"", ""98417"")",NA,8,4,37,48,115,64,73,100,6.88E-05,0.069565217,0.0625,0.506849315,0.48,0.066032609,0.493424658,0.427392049
chr1_182182210,chr1,182182210,182182210,intergenic,NA,"c(""12334"", ""13244"", ""170725"", ""209456"", ""433386"", ""53791"", ""67330"", ""67948"", ""68897"", ""96935"")","c(""13800"", ""226757"", ""27058"", ""403180"", ""625823"", ""72978"", ""98386"")",NA,6,6,27,78,101,79,46,143,5.07E-05,0.059405941,0.075949367,0.586956522,0.545454545,0.067677654,0.566205534,0.49852788
chr1_182182224,chr1,182182224,182182224,intergenic,NA,"c(""12334"", ""13244"", ""170725"", ""209456"", ""433386"", ""53791"", ""67330"", ""67948"", ""68897"", ""96935"")","c(""13800"", ""226757"", ""27058"", ""403180"", ""625823"", ""72978"", ""98386"")",NA,11,6,32,95,101,88,49,159,6.27E-05,0.108910891,0.068181818,0.653061224,0.597484277,0.088546355,0.625272751,0.536726396
chr1_182182225,chr1,182182225,182182225,intergenic,NA,"c(""12334"", ""13244"", ""170725"", ""209456"", ""433386"", ""53791"", ""67330"", ""67948"", ""68897"", ""96935"")","c(""13800"", ""226757"", ""27058"", ""403180"", ""625823"", ""72978"", ""98386"")",NA,2,2,20,46,54,55,32,77,7.06E-05,0.037037037,0.036363636,0.625,0.597402597,0.036700337,0.611201299,0.574500962
chr1_182974921,chr1,182974921,182974921,coding,53791,character(0),character(0),Tlr5,23,13,39,78,137,85,71,136,8.67E-05,0.167883212,0.152941176,0.549295775,0.573529412,0.160412194,0.561412593,0.401000399
chr1_186968373,chr1,186968373,186968373,coding,110957,character(0),character(0),D1Pas1,9,11,31,54,50,65,41,76,9.74E-05,0.18,0.169230769,0.756097561,0.710526316,0.174615385,0.733311938,0.558696554
chr1_20891940,chr1,20891940,20891940,intron,74229,character(0),character(0),Paqr8,5,5,34,45,93,66,67,86,7.92E-05,0.053763441,0.075757576,0.507462687,0.523255814,0.064760508,0.51535925,0.450598742
chr1_20891940,chr1,20891940,20891940,promoter,77741,character(0),character(0),6720483E21Rik,5,5,34,45,93,66,67,86,7.92E-05,0.053763441,0.075757576,0.507462687,0.523255814,0.064760508,0.51535925,0.450598742
chr1_4346331,chr1,4346331,4346331,intron,19888,character(0),character(0),Rp1,13,6,43,60,138,103,90,129,8.25E-05,0.094202899,0.058252427,0.477777778,0.465116279,0.076227663,0.471447028,0.395219366
chr1_4346331,chr1,4346331,4346331,coding,19888,character(0),character(0),Rp1,13,6,43,60,138,103,90,129,8.25E-05,0.094202899,0.058252427,0.477777778,0.465116279,0.076227663,0.471447028,0.395219366
chr1_51230028,chr1,51230028,51230028,intron,442821,character(0),character(0),9330175M20Rik,66,55,111,157,261,224,221,296,9.00E-05,0.252873563,0.245535714,0.502262443,0.530405405,0.249204639,0.516333924,0.267129286
chr1_72378213,chr1,72378213,72378213,intron,22596,character(0),character(0),Xrcc5,4,2,35,44,85,67,67,90,6.78E-05,0.047058824,0.029850746,0.52238806,0.488888889,0.038454785,0.505638474,0.467183689
chr1_85030443,chr1,85030443,85030443,intron,NA,character(0),character(0),NA,19,10,51,78,182,113,118,169,6.10E-05,0.104395604,0.088495575,0.43220339,0.461538462,0.09644559,0.446870926,0.350425336
chr1_85030443,chr1,85030443,85030443,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""20684"", ""227326"", ""319997"", ""381287"", ""434484"", ""620078"", ""64294"", ""665378"", ""70060"", ""71141"", ""77762"")","c(""100628595"", ""102465181"", ""14897"", ""227325"", ""66153"", ""71781"", ""98496"")",NA,19,10,51,78,182,113,118,169,6.10E-05,0.104395604,0.088495575,0.43220339,0.461538462,0.09644559,0.446870926,0.350425336
chr1_85179726,chr1,85179726,85179726,intron,NA,character(0),character(0),NA,46,33,96,180,788,487,442,779,3.26E-05,0.058375635,0.067761807,0.21719457,0.231065469,0.063068721,0.224130019,0.161061299
chr1_85179726,chr1,85179726,85179726,intron,381287,character(0),character(0),A530032D15Rik,46,33,96,180,788,487,442,779,3.26E-05,0.058375635,0.067761807,0.21719457,0.231065469,0.063068721,0.224130019,0.161061299
chr1_85179726,chr1,85179726,85179726,intron,620078,character(0),character(0),C130026I21Rik,46,33,96,180,788,487,442,779,3.26E-05,0.058375635,0.067761807,0.21719457,0.231065469,0.063068721,0.224130019,0.161061299
chr1_85179726,chr1,85179726,85179726,promoter,NA,character(0),character(0),NA,46,33,96,180,788,487,442,779,3.26E-05,0.058375635,0.067761807,0.21719457,0.231065469,0.063068721,0.224130019,0.161061299
chr1_85305382,chr1,85305382,85305382,intron,NA,character(0),character(0),NA,27,18,56,123,202,173,123,236,8.64E-05,0.133663366,0.104046243,0.455284553,0.521186441,0.118854805,0.488235497,0.369380692
chr1_85305382,chr1,85305382,85305382,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,27,18,56,123,202,173,123,236,8.64E-05,0.133663366,0.104046243,0.455284553,0.521186441,0.118854805,0.488235497,0.369380692
chr1_85305523,chr1,85305523,85305523,intron,NA,character(0),character(0),NA,50,37,135,252,461,347,312,516,2.05E-05,0.10845987,0.106628242,0.432692308,0.488372093,0.107544056,0.4605322,0.352988144
chr1_85305523,chr1,85305523,85305523,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,50,37,135,252,461,347,312,516,2.05E-05,0.10845987,0.106628242,0.432692308,0.488372093,0.107544056,0.4605322,0.352988144
chr1_85305525,chr1,85305525,85305525,intron,NA,character(0),character(0),NA,73,58,154,261,455,344,313,504,1.17E-05,0.16043956,0.168604651,0.49201278,0.517857143,0.164522106,0.504934961,0.340412855
chr1_85305525,chr1,85305525,85305525,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,73,58,154,261,455,344,313,504,1.17E-05,0.16043956,0.168604651,0.49201278,0.517857143,0.164522106,0.504934961,0.340412855
chr1_85305532,chr1,85305532,85305532,intron,NA,character(0),character(0),NA,65,62,152,250,435,330,304,496,2.78E-05,0.149425287,0.187878788,0.5,0.504032258,0.168652038,0.502016129,0.333364091
chr1_85305532,chr1,85305532,85305532,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,65,62,152,250,435,330,304,496,2.78E-05,0.149425287,0.187878788,0.5,0.504032258,0.168652038,0.502016129,0.333364091
chr1_85305570,chr1,85305570,85305570,intron,NA,character(0),character(0),NA,22,25,133,224,336,273,252,416,8.09E-06,0.06547619,0.091575092,0.527777778,0.538461538,0.078525641,0.533119658,0.454594017
chr1_85305570,chr1,85305570,85305570,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,22,25,133,224,336,273,252,416,8.09E-06,0.06547619,0.091575092,0.527777778,0.538461538,0.078525641,0.533119658,0.454594017
chr1_85323214,chr1,85323214,85323214,intron,NA,character(0),character(0),NA,76,43,86,204,449,326,174,455,7.39E-05,0.169265033,0.13190184,0.494252874,0.448351648,0.150583437,0.471302261,0.320718824
chr1_85323214,chr1,85323214,85323214,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,76,43,86,204,449,326,174,455,7.39E-05,0.169265033,0.13190184,0.494252874,0.448351648,0.150583437,0.471302261,0.320718824
chr1_85323215,chr1,85323215,85323215,intron,NA,character(0),character(0),NA,28,22,43,91,183,146,93,200,9.29E-05,0.153005464,0.150684932,0.462365591,0.455,0.151845198,0.458682796,0.306837598
chr1_85323215,chr1,85323215,85323215,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,28,22,43,91,183,146,93,200,9.29E-05,0.153005464,0.150684932,0.462365591,0.455,0.151845198,0.458682796,0.306837598
chr1_85323302,chr1,85323302,85323302,intron,NA,character(0),character(0),NA,74,52,163,336,907,700,444,900,3.24E-06,0.081587652,0.074285714,0.367117117,0.373333333,0.077936683,0.370225225,0.292288542
chr1_85323302,chr1,85323302,85323302,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,74,52,163,336,907,700,444,900,3.24E-06,0.081587652,0.074285714,0.367117117,0.373333333,0.077936683,0.370225225,0.292288542
chr1_85323303,chr1,85323303,85323303,intron,NA,character(0),character(0),NA,73,72,188,297,592,476,364,597,1.05E-05,0.123310811,0.151260504,0.516483516,0.497487437,0.137285658,0.506985477,0.369699819
chr1_85323303,chr1,85323303,85323303,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,73,72,188,297,592,476,364,597,1.05E-05,0.123310811,0.151260504,0.516483516,0.497487437,0.137285658,0.506985477,0.369699819
chr1_85323338,chr1,85323338,85323338,intron,NA,character(0),character(0),NA,91,78,247,487,911,704,468,925,1.21E-06,0.099890231,0.110795455,0.527777778,0.526486486,0.105342843,0.527132132,0.42178929
chr1_85323338,chr1,85323338,85323338,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,91,78,247,487,911,704,468,925,1.21E-06,0.099890231,0.110795455,0.527777778,0.526486486,0.105342843,0.527132132,0.42178929
chr1_85323339,chr1,85323339,85323339,intron,NA,character(0),character(0),NA,130,81,274,441,757,557,460,711,4.31E-06,0.171730515,0.145421903,0.595652174,0.620253165,0.158576209,0.607952669,0.44937646
chr1_85323339,chr1,85323339,85323339,intergenic,NA,"c(""102466882"", ""109032"", ""12283"", ""15559"", ""20684"", ""227326"", ""227327"", ""319997"", ""434484"", ""64294"", ""70060"", ""70247"", ""71141"", ""72792"", ""77762"", ""78795"")","c(""100628595"", ""14897"", ""227325"", ""381287"", ""620078"", ""66153"", ""665378"", ""71781"", ""98496"")",NA,130,81,274,441,757,557,460,711,4.31E-06,0.171730515,0.145421903,0.595652174,0.620253165,0.158576209,0.607952669,0.44937646
chr1_85323346,chr1,85323346,85323346,intron,NA,character(0),character(0),NA,54,39,237,412,890,680,459,895,5.66E-06,0.060674157,0.057352941,0.516339869,0.460335196,0.059013549,0.488337532,0.429323983
